domain,accession,GC_per,temp_cat
archaea,GCF_000025625.1,61.05 ,mesophilic
archaea,GCF_000337135.1,60.42 ,mesophilic
archaea,GCF_000337535.1,61.98 ,mesophilic
archaea,GCF_000337595.1,61.52 ,mesophilic
archaea,GCF_000337555.1,62.39 ,mesophilic
archaea,GCF_000337615.1,63.72 ,mesophilic
archaea,GCF_000337175.1,63.72 ,mesophilic
archaea,GCF_000337195.1,63.96 ,mesophilic
archaea,GCF_005576615.1,63.43 ,mesophilic
archaea,GCF_000230735.2,63.99 ,mesophilic
archaea,GCF_000710605.1,64.92 ,mesophilic
archaea,GCF_001953745.1,65.25 ,mesophilic
archaea,GCF_000690595.1,65.11 ,mesophilic
archaea,GCF_000337475.1,61.80 ,mesophilic
archaea,GCF_000226975.2,65.27 ,mesophilic
archaea,GCF_900112205.1,65.43 ,mesophilic
archaea,GCF_000337895.1,63.72 ,mesophilic
archaea,GCF_000230715.2,62.24 ,mesophilic
archaea,GCF_900104065.1,62.87 ,mesophilic
archaea,GCF_000217715.1,65.18 ,mesophilic
archaea,GCF_002156705.1,64.11 ,thermophilic
archaea,GCF_000328685.1,64.66 ,mesophilic
archaea,GCF_000337695.1,64.41 ,mesophilic
archaea,GCF_000337675.1,64.36 ,mesophilic
archaea,GCF_900116205.1,61.45 ,mesophilic
archaea,GCF_000517625.1,60.90 ,mesophilic
archaea,GCA_000328525.1,64.34 ,mesophilic
archaea,GCF_000337515.1,64.45 ,mesophilic
archaea,GCF_005954745.1,63.06 ,mesophilic
archaea,GCF_000403645.1,66.59 ,mesophilic
archaea,GCF_900215575.1,65.16 ,mesophilic
archaea,GCF_000376445.1,61.77 ,mesophilic
archaea,GCF_000710615.1,57.76 ,mesophilic
archaea,GCF_000011085.1,61.12 ,mesophilic
archaea,GCF_000336895.1,61.12 ,mesophilic
archaea,GCF_000336635.1,61.18 ,mesophilic
archaea,GCF_000223905.1,62.45 ,mesophilic
archaea,GCF_000336615.1,62.13 ,mesophilic
archaea,GCF_000023965.1,65.53 ,mesophilic
archaea,GCF_000379085.1,65.03 ,mesophilic
archaea,GCF_000337455.1,67.67 ,mesophilic
archaea,GCF_000023945.1,62.90 ,thermophilic
archaea,GCF_000470655.1,62.74 ,thermophilic
archaea,GCF_004799665.1,63.73 ,mesophilic
archaea,GCF_000591055.1,64.53 ,mesophilic
archaea,GCF_000026045.1,63.12 ,thermophilic
archaea,GCF_000336695.1,63.84 ,mesophilic
archaea,GCF_000336715.1,61.82 ,mesophilic
archaea,GCF_000336675.1,65.40 ,mesophilic
archaea,GCF_000336915.1,64.03 ,mesophilic
archaea,GCF_000336935.1,63.45 ,mesophilic
archaea,GCF_000196895.1,62.52 ,mesophilic
archaea,GCF_001593955.1,61.67 ,mesophilic
archaea,GCF_000327485.1,55.20 ,mesophilic
archaea,GCF_000017625.1,54.51 ,mesophilic
archaea,GCF_000021965.1,55.35 ,mesophilic
archaea,GCF_000013445.1,45.15 ,mesophilic
archaea,GCA_003251955.1,47.50 ,mesophilic
archaea,GCF_000015765.1,50.01 ,mesophilic
archaea,GCF_000015825.1,62.06 ,mesophilic
archaea,GCF_000304355.2,60.64 ,mesophilic
archaea,GCA_002503885.1,61.80 ,mesophilic
archaea,GCF_000147875.1,47.40 ,mesophilic
archaea,GCF_000711215.1,49.46 ,mesophilic
archaea,GCF_000243255.1,42.20 ,mesophilic
archaea,GCF_000275865.1,60.97 ,mesophilic
archaea,GCF_000504205.1,39.79 ,mesophilic
archaea,GCF_000328665.1,41.87 ,mesophilic
archaea,GCF_002761295.1,41.95 ,mesophilic
archaea,GCF_000025865.1,42.62 ,mesophilic
archaea,GCF_001889405.1,42.40 ,mesophilic
archaea,GCF_000765475.1,42.50 ,mesophilic
archaea,GCF_000970325.1,44.02 ,mesophilic
archaea,GCF_000013725.1,40.76 ,mesophilic
archaea,GCF_000217995.1,39.16 ,mesophilic
archaea,GCF_000196655.1,36.42 ,mesophilic
archaea,GCF_000195895.1,39.23 ,mesophilic
archaea,GCF_000969905.1,39.71 ,mesophilic
archaea,GCF_000969885.1,41.15 ,thermophilic
archaea,GCF_001304615.1,41.31 ,thermophilic
archaea,GCF_000970205.1,41.42 ,mesophilic
archaea,GCF_000970285.1,41.31 ,mesophilic
archaea,GCA_000007345.1,42.68 ,mesophilic
archaea,GCF_000970085.1,42.94 ,mesophilic
archaea,GCF_000970265.1,41.82 ,mesophilic
archaea,GCF_000204415.1,50.99 ,mesophilic
archaea,GCA_000014945.1,53.55 ,thermophilic
archaea,GCF_000235565.1,60.60 ,mesophilic
archaea,GCA_002506535.1,59.15 ,thermophilic
archaea,GCF_000711905.1,54.66 ,thermophilic
archaea,GCF_000011005.1,54.92 ,mesophilic
archaea,GCF_000251105.1,52.74 ,thermophilic
archaea,GCF_000063445.1,54.60 ,thermophilic
archaea,GCF_000008665.1,48.58 ,hyperthermophilic
archaea,GCF_000025285.1,42.00 ,hyperthermophilic
archaea,GCF_000194625.1,47.05 ,hyperthermophilic
archaea,GCF_000789255.1,46.84 ,hyperthermophilic
archaea,GCF_001006045.1,53.11 ,hyperthermophilic
archaea,GCF_000025505.1,44.14 ,hyperthermophilic
archaea,GCF_000385565.1,43.24 ,thermophilic
archaea,GCF_000308215.1,60.48 ,mesophilic
archaea,GCF_000152265.2,36.47 ,mesophilic
archaea,GCF_002078355.1,36.49 ,mesophilic
archaea,GCF_900176435.1,35.98 ,thermophilic
archaea,GCF_000195915.1,45.99 ,thermophilic
archaea,GCF_000011185.1,39.92 ,thermophilic
archaea,GCF_000025665.1,39.16 ,thermophilic
archaea,GCF_000327505.1,44.13 ,thermophilic
archaea,GCF_000302455.1,38.02 ,mesophilic
archaea,GCF_002813695.1,39.40 ,mesophilic
archaea,GCF_000191585.1,35.83 ,mesophilic
archaea,GCF_000214725.1,35.73 ,mesophilic
archaea,GCF_900095295.1,38.49 ,mesophilic
archaea,GCF_000012545.1,27.63 ,mesophilic
archaea,GCF_000745485.1,33.21 ,psychrophilic/psychrotrophilic
archaea,GCF_001477655.1,31.81 ,mesophilic
archaea,GCF_000016525.1,31.03 ,mesophilic
archaea,GCF_002252585.1,31.20 ,mesophilic
archaea,GCF_000024185.1,32.64 ,mesophilic
archaea,GCA_004553595.1,32.20 ,mesophilic
archaea,GCF_900114585.1,26.81 ,mesophilic
archaea,GCF_000008645.1,49.54 ,thermophilic
archaea,GCF_000828575.1,49.35 ,thermophilic
archaea,GCF_000145295.1,48.64 ,thermophilic
archaea,GCF_900095815.1,48.89 ,thermophilic
archaea,GCF_003264935.1,40.00 ,thermophilic
archaea,GCF_000166095.1,31.64 ,hyperthermophilic
archaea,GCF_000017225.1,33.28 ,mesophilic
archaea,GCF_000018485.1,33.42 ,mesophilic
archaea,GCF_000016125.1,32.98 ,mesophilic
archaea,GCF_002945325.1,32.92 ,mesophilic
archaea,GCF_000017165.1,31.33 ,mesophilic
archaea,GCF_000006175.1,28.59 ,mesophilic
archaea,GCF_000376965.1,32.80 ,thermophilic
archaea,GCF_000017185.1,30.04 ,thermophilic
archaea,GCF_000179575.2,29.28 ,thermophilic
archaea,GCF_000214415.1,32.30 ,hyperthermophilic
archaea,GCF_000243455.1,32.45 ,thermophilic
archaea,GCF_000025525.1,32.04 ,thermophilic
archaea,GCF_000091665.1,31.29 ,hyperthermophilic
archaea,GCF_000739065.1,30.79 ,hyperthermophilic
archaea,GCF_000023985.1,32.22 ,hyperthermophilic
archaea,GCF_000024625.1,31.58 ,hyperthermophilic
archaea,GCF_000092305.1,33.62 ,hyperthermophilic
archaea,GCF_000371805.1,29.50 ,hyperthermophilic
archaea,GCA_000007185.1,61.16 ,hyperthermophilic
archaea,GCF_002214545.1,53.45 ,hyperthermophilic
archaea,GCF_002214465.1,54.69 ,hyperthermophilic
archaea,GCF_002214565.1,55.60 ,hyperthermophilic
archaea,GCF_000221185.1,56.08 ,hyperthermophilic
archaea,GCF_001484195.1,54.31 ,thermophilic
archaea,GCF_000265525.1,55.82 ,hyperthermophilic
archaea,GCF_002214485.1,54.24 ,hyperthermophilic
archaea,GCF_002214505.1,54.99 ,hyperthermophilic
archaea,GCF_000018365.1,51.27 ,hyperthermophilic
archaea,GCF_001647085.1,51.11 ,thermophilic
archaea,GCF_000022365.1,53.56 ,hyperthermophilic
archaea,GCF_000151205.2,54.78 ,thermophilic
archaea,GCF_000816105.1,52.86 ,hyperthermophilic
archaea,GCF_002214385.1,51.67 ,hyperthermophilic
archaea,GCF_002214585.1,53.09 ,hyperthermophilic
archaea,GCF_000585495.1,54.84 ,hyperthermophilic
archaea,GCF_000769655.1,53.45 ,hyperthermophilic
archaea,GCF_000009965.1,52.00 ,hyperthermophilic
archaea,GCF_001592435.1,51.74 ,hyperthermophilic
archaea,GCF_000022545.1,40.20 ,thermophilic
archaea,GCF_000246985.2,43.09 ,hyperthermophilic
archaea,GCF_000725425.1,43.04 ,hyperthermophilic
archaea,GCF_000966265.1,54.31 ,hyperthermophilic
archaea,GCF_000151105.2,41.67 ,hyperthermophilic
archaea,GCF_000517445.1,40.30 ,hyperthermophilic
archaea,GCF_001577775.1,44.62 ,hyperthermophilic
archaea,GCF_000263735.1,42.30 ,hyperthermophilic
archaea,GCF_000011105.1,41.88 ,hyperthermophilic
archaea,GCF_000211475.1,42.74 ,hyperthermophilic
archaea,GCF_000195935.2,44.71 ,hyperthermophilic
archaea,GCF_000007305.1,40.77 ,hyperthermophilic
archaea,GCF_000215995.1,51.64 ,hyperthermophilic
archaea,GCA_000018465.1,34.17 ,mesophilic
archaea,GCA_000875775.1,33.82 ,mesophilic
archaea,GCF_000299395.1,33.60 ,mesophilic
archaea,GCF_000956175.1,33.41 ,mesophilic
archaea,GCA_000200715.1,57.38 ,psychrophilic/psychrotrophilic
archaea,GCA_000303155.1,48.35 ,thermophilic
archaea,GCF_000698785.1,52.72 ,mesophilic
archaea,GCA_000270325.1,51.65 ,thermophilic
archaea,GCF_000144915.1,57.22 ,hyperthermophilic
archaea,GCF_000317795.1,30.03 ,thermophilic
archaea,GCA_000011125.1,56.31 ,hyperthermophilic
archaea,GCA_000591035.1,56.73 ,hyperthermophilic
archaea,GCA_000258425.1,37.47 ,thermophilic
archaea,GCF_001412615.1,53.91 ,hyperthermophilic
archaea,GCF_001462395.1,63.50 ,thermophilic
archaea,GCF_000015145.1,53.74 ,hyperthermophilic
archaea,GCF_000223395.1,54.90 ,hyperthermophilic
archaea,GCF_000017945.1,56.52 ,hyperthermophilic
archaea,GCF_001481685.1,44.90 ,hyperthermophilic
archaea,GCF_000186365.1,53.14 ,hyperthermophilic
archaea,GCF_000513855.1,45.17 ,hyperthermophilic
archaea,GCF_000092185.1,46.73 ,hyperthermophilic
archaea,GCF_000264495.1,55.64 ,hyperthermophilic
archaea,GCF_000015945.1,35.73 ,hyperthermophilic
archaea,GCF_000092465.1,36.84 ,hyperthermophilic
archaea,GCA_000145985.1,35.69 ,hyperthermophilic
archaea,GCA_002116695.1,30.62 ,hyperthermophilic
archaea,GCF_003201765.1,31.06 ,thermophilic
archaea,GCF_000213215.1,34.15 ,thermophilic
archaea,GCF_003201835.1,31.90 ,thermophilic
archaea,GCF_000016605.1,46.23 ,thermophilic
archaea,GCF_000204925.1,41.99 ,thermophilic
archaea,GCF_000243315.1,47.74 ,thermophilic
archaea,GCF_000022385.1,35.11 ,hyperthermophilic
archaea,GCF_900079115.1,35.84 ,hyperthermophilic
archaea,GCF_001316045.1,38.61 ,thermophilic
archaea,GCF_000012285.1,36.71 ,thermophilic
archaea,GCA_000508305.1,36.30 ,thermophilic
archaea,GCF_000011205.1,32.79 ,hyperthermophilic
archaea,GCF_003967175.1,51.15 ,thermophilic
archaea,GCF_000148385.1,45.43 ,hyperthermophilic
archaea,GCA_002506645.1,48.70 ,thermophilic
archaea,GCF_000190315.1,42.39 ,hyperthermophilic
archaea,GCF_000018305.1,43.10 ,hyperthermophilic
archaea,GCA_001315925.1,53.07 ,hyperthermophilic
archaea,GCF_000007225.1,51.36 ,hyperthermophilic
archaea,GCA_000234805.1,56.97 ,hyperthermophilic
archaea,GCF_000016385.1,55.05 ,hyperthermophilic
archaea,GCA_000247545.1,55.05 ,hyperthermophilic
archaea,GCF_000015205.1,49.60 ,hyperthermophilic
archaea,GCA_000019805.1,59.91 ,hyperthermophilic
archaea,GCA_000015805.1,57.15 ,hyperthermophilic
archaea,GCF_000193375.1,59.66 ,hyperthermophilic
archaea,GCF_000253055.1,55.13 ,hyperthermophilic
archaea,GCF_000015225.1,57.65 ,hyperthermophilic
archaea,GCF_000993805.1,47.94 ,hyperthermophilic
archaea,GCF_000019605.1,49.00 ,mesophilic
archaea,GCA_000387965.1,24.33 ,hyperthermophilic
archaea,GCA_000008085.1,31.56 ,hyperthermophilic
bacteria,GCF_000783395.1,62.90 ,mesophilic
bacteria,GCF_900580865.1,59.30 ,mesophilic
bacteria,GCF_005938625.1,60.10 ,mesophilic
bacteria,GCF_000276585.1,59.12 ,mesophilic
bacteria,GCF_000282515.1,59.20 ,mesophilic
bacteria,GCF_000292795.1,60.29 ,mesophilic
bacteria,GCF_003352185.1,60.55 ,mesophilic
bacteria,GCF_004006335.1,59.10 ,mesophilic
bacteria,GCF_002236115.1,59.70 ,mesophilic
bacteria,GCF_003228315.1,62.00 ,mesophilic
bacteria,GCF_002236105.1,59.73 ,mesophilic
bacteria,GCF_002277815.1,58.40 ,psychrophilic/psychrotrophilic
bacteria,GCF_900102045.1,59.66 ,mesophilic
bacteria,GCF_900105115.1,59.62 ,mesophilic
bacteria,GCF_000282315.2,59.00 ,mesophilic
bacteria,GCF_006438925.1,59.30 ,mesophilic
bacteria,GCF_001661075.1,59.58 ,mesophilic
bacteria,GCF_003732265.1,60.80 ,mesophilic
bacteria,GCF_000282375.1,59.00 ,mesophilic
bacteria,GCF_001269885.1,60.86 ,mesophilic
bacteria,GCF_000281895.1,60.63 ,mesophilic
bacteria,GCF_000217955.2,58.73 ,mesophilic
bacteria,GCA_004000515.1,60.40 ,mesophilic
bacteria,GCF_001439845.1,60.02 ,mesophilic
bacteria,GCF_001439735.1,59.73 ,mesophilic
bacteria,GCF_001439685.1,60.18 ,mesophilic
bacteria,GCF_003851495.1,59.70 ,mesophilic
bacteria,GCF_001439785.1,60.48 ,mesophilic
bacteria,GCF_001439805.1,60.98 ,mesophilic
bacteria,GCF_900101085.1,60.07 ,mesophilic
bacteria,GCF_001983175.1,60.71 ,mesophilic
bacteria,GCF_001439695.1,60.72 ,mesophilic
bacteria,GCF_900102035.1,60.61 ,mesophilic
bacteria,GCF_001983165.1,60.39 ,mesophilic
bacteria,GCF_000242655.1,61.20 ,mesophilic
bacteria,GCF_900105185.1,62.79 ,mesophilic
bacteria,GCF_003732485.1,63.30 ,mesophilic
bacteria,GCF_001293465.1,63.30 ,mesophilic
bacteria,GCF_000346225.2,58.70 ,mesophilic
bacteria,GCF_001294575.1,58.23 ,mesophilic
bacteria,GCF_000282975.1,56.40 ,psychrophilic/psychrotrophilic
bacteria,GCF_000416235.1,58.88 ,mesophilic
bacteria,GCF_900111735.1,60.26 ,mesophilic
bacteria,GCF_000263855.1,62.50 ,mesophilic
bacteria,GCF_000019125.1,61.94 ,mesophilic
bacteria,GCF_000510285.1,62.46 ,mesophilic
bacteria,GCF_001319945.1,62.00 ,mesophilic
bacteria,GCF_000019445.1,61.44 ,mesophilic
bacteria,GCF_000425785.1,61.86 ,mesophilic
bacteria,GCF_000621225.1,64.01 ,mesophilic
bacteria,GCF_000026105.1,64.16 ,mesophilic
bacteria,GCF_000425745.1,63.49 ,mesophilic
bacteria,GCF_000759535.1,63.24 ,mesophilic
bacteria,GCF_000319305.1,63.14 ,mesophilic
bacteria,GCF_900188455.1,64.14 ,mesophilic
bacteria,GCF_000425805.1,61.52 ,mesophilic
bacteria,GCF_000746525.1,60.63 ,mesophilic
bacteria,GCF_000259195.1,62.40 ,mesophilic
bacteria,GCF_900099645.1,59.72 ,mesophilic
bacteria,GCF_900115555.1,63.02 ,mesophilic
bacteria,GCF_900100495.1,65.21 ,mesophilic
bacteria,GCF_000834555.1,61.20 ,mesophilic
bacteria,GCF_900102635.1,62.32 ,mesophilic
bacteria,GCA_007049795.1,62.50 ,mesophilic
bacteria,GCF_000016565.1,64.68 ,mesophilic
bacteria,GCF_000418555.1,63.40 ,mesophilic
bacteria,GCF_900105995.1,59.61 ,mesophilic
bacteria,GCF_900156545.1,64.90 ,mesophilic
bacteria,GCF_000423545.1,63.58 ,mesophilic
bacteria,GCF_002003485.1,63.40 ,mesophilic
bacteria,GCF_900111835.1,66.85 ,mesophilic
bacteria,GCF_900114065.1,62.61 ,mesophilic
bacteria,GCF_000267545.1,62.67 ,mesophilic
bacteria,GCF_000495915.1,62.49 ,mesophilic
bacteria,GCF_000935215.1,63.70 ,mesophilic
bacteria,GCF_000219605.1,63.93 ,mesophilic
bacteria,GCF_000235745.1,60.56 ,mesophilic
bacteria,GCF_900129835.1,60.34 ,mesophilic
bacteria,GCF_000279165.1,63.21 ,mesophilic
bacteria,GCF_000818015.1,64.66 ,mesophilic
bacteria,GCF_000425625.1,66.99 ,mesophilic
bacteria,GCF_900110885.1,65.60 ,mesophilic
bacteria,GCF_000017205.1,66.45 ,mesophilic
bacteria,GCF_001913135.1,64.90 ,mesophilic
bacteria,GCF_000364625.1,66.82 ,thermophilic
bacteria,GCF_000421765.1,48.26 ,psychrophilic/psychrotrophilic
bacteria,GCF_001267175.1,47.36 ,mesophilic
bacteria,GCF_900114825.1,60.44 ,mesophilic
bacteria,GCF_000710775.1,46.75 ,mesophilic
bacteria,GCF_000722635.1,47.02 ,mesophilic
bacteria,GCF_000428585.1,41.02 ,mesophilic
bacteria,GCF_000696485.1,52.65 ,mesophilic
bacteria,GCF_000219565.1,52.50 ,mesophilic
bacteria,GCF_003989795.1,52.06 ,mesophilic
bacteria,GCF_002966495.1,53.90 ,mesophilic
bacteria,GCF_000275725.1,60.25 ,mesophilic
bacteria,GCF_002442575.1,60.24 ,mesophilic
bacteria,GCF_000377665.1,54.51 ,mesophilic
bacteria,GCF_002257525.1,41.82 ,mesophilic
bacteria,GCF_000334215.1,62.92 ,mesophilic
bacteria,GCF_000620045.1,63.99 ,mesophilic
bacteria,GCF_003202205.1,66.38 ,mesophilic
bacteria,GCF_001886615.1,67.88 ,mesophilic
bacteria,GCF_000265245.1,67.86 ,mesophilic
bacteria,GCF_002549795.1,68.40 ,mesophilic
bacteria,GCF_000196875.2,63.61 ,mesophilic
bacteria,GCF_000425725.1,53.84 ,mesophilic
bacteria,GCF_001431725.1,58.53 ,mesophilic
bacteria,GCF_000409775.1,58.54 ,mesophilic
bacteria,GCF_900106955.1,58.18 ,mesophilic
bacteria,GCF_900128925.1,63.16 ,mesophilic
bacteria,GCF_000378505.1,59.06 ,mesophilic
bacteria,GCF_000731955.1,64.41 ,psychrophilic/psychrotrophilic
bacteria,GCF_003006155.1,65.68 ,mesophilic
bacteria,GCF_002157205.1,59.05 ,mesophilic
bacteria,GCF_900112585.1,60.32 ,mesophilic
bacteria,GCF_000382245.1,62.76 ,mesophilic
bacteria,GCF_000621205.1,64.76 ,mesophilic
bacteria,GCF_001648175.1,64.31 ,mesophilic
bacteria,GCF_900112235.1,50.42 ,mesophilic
bacteria,GCF_000422325.1,43.13 ,psychrophilic/psychrotrophilic
bacteria,GCF_000686905.1,43.07 ,psychrophilic/psychrotrophilic
bacteria,GCF_900119735.1,54.64 ,mesophilic
bacteria,GCF_000422865.1,45.92 ,mesophilic
bacteria,GCF_000422425.1,47.87 ,mesophilic
bacteria,GCF_900129155.1,42.51 ,psychrophilic/psychrotrophilic
bacteria,GCF_000017285.1,42.59 ,mesophilic
bacteria,GCF_000521805.1,41.11 ,psychrophilic/psychrotrophilic
bacteria,GCF_000214215.1,44.29 ,mesophilic
bacteria,GCF_000192865.1,44.13 ,mesophilic
bacteria,GCF_000153025.1,40.87 ,mesophilic
bacteria,GCF_900156675.1,51.43 ,mesophilic
bacteria,GCF_000355675.1,46.63 ,mesophilic
bacteria,GCF_000967895.1,42.16 ,psychrophilic/psychrotrophilic
bacteria,GCF_000153565.1,43.96 ,mesophilic
bacteria,GCA_000153345.1,46.64 ,mesophilic
bacteria,GCF_900111095.1,51.08 ,mesophilic
bacteria,GCF_000422765.1,43.75 ,psychrophilic/psychrotrophilic
bacteria,GCF_900108065.1,57.45 ,mesophilic
bacteria,GCF_000428985.1,56.41 ,mesophilic
bacteria,GCF_900155945.1,55.60 ,mesophilic
bacteria,GCF_900107855.1,54.92 ,mesophilic
bacteria,GCF_000691225.1,52.07 ,mesophilic
bacteria,GCF_001651805.1,58.79 ,mesophilic
bacteria,GCF_000378045.1,58.52 ,mesophilic
bacteria,GCF_000619885.1,54.40 ,mesophilic
bacteria,GCA_000166295.1,56.86 ,mesophilic
bacteria,GCF_001717765.1,55.90 ,mesophilic
bacteria,GCF_000830985.1,57.60 ,mesophilic
bacteria,GCF_001854125.1,55.91 ,mesophilic
bacteria,GCF_000831005.1,57.08 ,mesophilic
bacteria,GCF_000170835.1,56.98 ,mesophilic
bacteria,GCF_000397065.2,56.76 ,mesophilic
bacteria,GCF_000169375.1,54.34 ,psychrophilic/psychrotrophilic
bacteria,GCF_001043175.1,53.84 ,psychrophilic/psychrotrophilic
bacteria,GCA_002258215.1,57.99 ,mesophilic
bacteria,GCF_000421165.1,56.75 ,mesophilic
bacteria,GCF_000284615.1,57.43 ,mesophilic
bacteria,GCF_004851605.1,57.90 ,mesophilic
bacteria,GCF_002162375.1,47.80 ,mesophilic
bacteria,GCF_000012985.1,53.87 ,mesophilic
bacteria,GCF_000376785.1,49.16 ,mesophilic
bacteria,GCF_000423605.1,55.39 ,psychrophilic/psychrotrophilic
bacteria,GCF_003367315.1,57.37 ,mesophilic
bacteria,GCF_002795845.1,53.00 ,psychrophilic/psychrotrophilic
bacteria,GCF_000153185.1,52.35 ,mesophilic
bacteria,GCF_000940805.1,48.63 ,mesophilic
bacteria,GCF_000227525.1,49.86 ,mesophilic
bacteria,GCF_000263355.1,48.80 ,mesophilic
bacteria,GCF_000019225.1,51.99 ,mesophilic
bacteria,GCF_000423345.1,57.90 ,mesophilic
bacteria,GCF_000377745.1,51.16 ,mesophilic
bacteria,GCF_001750105.1,58.85 ,mesophilic
bacteria,GCF_000220505.1,56.81 ,mesophilic
bacteria,GCF_001999945.1,55.40 ,mesophilic
bacteria,GCF_000305785.2,55.83 ,mesophilic
bacteria,GCF_001922955.1,47.22 ,mesophilic
bacteria,GCF_000023025.1,50.89 ,mesophilic
bacteria,GCF_000379165.1,50.85 ,mesophilic
bacteria,GCF_000013665.1,45.83 ,mesophilic
bacteria,GCF_002157225.2,40.93 ,mesophilic
bacteria,GCF_000209515.1,42.06 ,mesophilic
bacteria,GCF_000153445.1,49.39 ,mesophilic
bacteria,GCF_000156295.1,52.96 ,mesophilic
bacteria,GCF_001983995.1,57.66 ,mesophilic
bacteria,GCF_000423125.1,60.80 ,mesophilic
bacteria,GCF_003719295.1,61.27 ,mesophilic
bacteria,GCF_000153125.2,57.67 ,mesophilic
bacteria,GCF_000158155.1,56.34 ,mesophilic
bacteria,GCF_000764025.1,66.14 ,mesophilic
bacteria,GCF_000227505.1,52.90 ,mesophilic
bacteria,GCF_000169115.1,51.82 ,mesophilic
bacteria,GCF_000158175.1,56.74 ,mesophilic
bacteria,GCF_000422345.1,55.14 ,mesophilic
bacteria,GCF_000420325.1,57.28 ,mesophilic
bacteria,GCF_001586255.1,50.72 ,mesophilic
bacteria,GCF_000169075.1,47.16 ,mesophilic
bacteria,GCF_002117105.1,47.70 ,psychrophilic/psychrotrophilic
bacteria,GCF_000373485.1,47.44 ,mesophilic
bacteria,GCF_001444425.1,54.00 ,mesophilic
bacteria,GCF_000368865.1,45.01 ,mesophilic
bacteria,GCF_000400735.1,40.02 ,mesophilic
bacteria,GCF_000368785.1,41.21 ,mesophilic
bacteria,GCF_001758345.1,41.40 ,mesophilic
bacteria,GCF_900107285.1,38.95 ,mesophilic
bacteria,GCF_900096895.1,42.96 ,mesophilic
bacteria,GCF_000368565.1,37.74 ,mesophilic
bacteria,GCF_000829675.1,39.00 ,mesophilic
bacteria,GCF_001704115.1,41.64 ,mesophilic
bacteria,GCA_004345325.1,38.69 ,mesophilic
bacteria,GCF_000369405.1,40.40 ,mesophilic
bacteria,GCF_000369805.1,41.00 ,mesophilic
bacteria,GCF_000369545.1,40.50 ,mesophilic
bacteria,GCF_000369525.1,40.80 ,mesophilic
bacteria,GCF_000369645.1,41.40 ,mesophilic
bacteria,GCF_000369705.1,41.50 ,mesophilic
bacteria,GCF_000369785.1,42.80 ,mesophilic
bacteria,GCF_000374425.1,38.54 ,mesophilic
bacteria,GCF_000369565.1,38.60 ,mesophilic
bacteria,GCF_000368025.1,41.68 ,mesophilic
bacteria,GCF_900406815.1,39.50 ,mesophilic
bacteria,GCF_000369505.1,40.20 ,mesophilic
bacteria,GCF_000368965.1,38.65 ,mesophilic
bacteria,GCF_000313935.1,38.85 ,mesophilic
bacteria,GCF_000196795.1,38.73 ,mesophilic
bacteria,GCF_002928115.1,38.79 ,mesophilic
bacteria,GCF_000368825.1,40.07 ,mesophilic
bacteria,GCF_000368685.1,40.42 ,mesophilic
bacteria,GCF_000760595.1,42.82 ,mesophilic
bacteria,GCF_000368265.1,41.30 ,mesophilic
bacteria,GCF_900096955.1,38.01 ,mesophilic
bacteria,GCF_900197575.1,38.30 ,mesophilic
bacteria,GCF_900096995.1,40.23 ,mesophilic
